date,average sentiment
2022-05-29,0.18429
2022-05-30,0.175645
2022-05-31,-0.015885000000000003
2022-06-01,0.053100000000000015
2022-06-02,0.17477
2022-06-03,-0.06666
2022-06-04,0.031715
2022-06-05,-0.051875000000000004
2022-06-06,-0.11385
2022-06-07,0.14518999999999999
2022-06-08,0.17104999999999998
2022-06-09,0.232265
2022-06-10,0.287865
2022-06-11,0.11572
2022-06-12,-0.06835999999999999
2022-06-13,0.39885000000000004
2022-06-14,-0.031395
2022-06-15,-0.034245
2022-06-16,0.159175
2022-06-17,-0.0010599999999999971
2022-06-18,-0.06547
2022-06-19,0.18561999999999998
2022-06-20,0.114625
2022-06-21,0.007569999999999989
2022-06-22,0.11888499999999999
2022-06-23,-0.018719999999999997
2022-06-24,0.116175
2022-06-25,0.0732
2022-06-26,-0.012085000000000002
2022-06-27,0.20847
2022-06-28,-0.03445
2022-06-29,-0.0018749999999999988
2022-06-30,-0.14007999999999998
2022-07-01,-0.07616
2022-07-02,-0.130675
2022-07-03,0.24447000000000002
2022-07-04,-0.24764
2022-07-05,0.03432500000000001
2022-07-06,0.038975
2022-07-07,0.11286
2022-07-08,0.237145
2022-07-09,-0.157385
2022-07-10,0.253585
2022-07-11,0.048695
2022-07-12,0.072715
2022-07-13,-0.030179999999999995
2022-07-14,0.21709
2022-07-15,0.31209
2022-07-16,0.15458500000000003
2022-07-17,-0.007154999999999986
2022-07-18,-0.23981999999999998
2022-07-19,0.100135
2022-07-20,-0.039659999999999994
2022-07-21,0.022284999999999992
2022-07-22,-0.022459999999999997
2022-07-23,0.150085
2022-07-24,0.196435
2022-07-25,-0.08034
2022-07-26,0.11177999999999999
2022-07-27,-0.00031000000000001025
2022-07-28,0.3708
2022-07-29,0.092255
2022-07-30,0.19775
2022-07-31,-0.028550000000000002
2022-08-01,-0.20722999999999997
2022-08-02,0.127165
2022-08-03,0.010599999999999995
2022-08-04,0.13147999999999999
2022-08-05,-0.16012500000000002
2022-08-06,0.137995
2022-08-07,-0.290905
2022-08-08,0.15450999999999998
2022-08-09,-0.186645
2022-08-10,0.07827500000000003
2022-08-11,0.15464
2022-08-12,-0.062835
2022-08-13,0.134425
2022-08-14,0.171545
2022-08-15,-0.239805
2022-08-16,0.13057000000000002
2022-08-17,-0.24062
2022-08-18,0.1973
2022-08-19,-0.11748
2022-08-20,0.179475
2022-08-21,-0.20729999999999998
2022-08-22,0.03663999999999999
2022-08-23,-0.18196
2022-08-24,0.08592
2022-08-25,0.17490499999999998
2022-08-26,0.07111
2022-08-27,-0.08251
2022-08-28,-0.053495
2022-08-29,-0.20527
2022-08-30,-0.0018600000000000062
2022-08-31,0.26405
